OBJECTID,INT_REFNO,PREFIX,UDI,SYMBOL_NAM,BDNAME,BDNUM,TEXT_NBR,Shape__Area,Shape__Length
1,-2144134800,REFNO,23152,WARDAREA,Phillips West,90,90,1979108.059,6206.097608
2,-2144131300,REFNO,23187,WARDAREA,Downtown West,87,87,3853389.949,8282.36621
3,-2144131200,REFNO,23188,WARDAREA,Downtown East,88,88,1903728.598,5788.818417
4,0,REFNO,23189,WARDAREA,Ventura Village,89,89,2344520.504,7313.605241
5,-2144137100,REFNO,23129,WARDAREA,Sumner - Glenwood,29,29,1066209.418,4769.691859
6,-2144139900,REFNO,23101,WARDAREA,Shingle Creek,1,1,2586873.012,6798.459451
7,-2144139800,REFNO,23102,WARDAREA,Lind - Bohanon,2,2,4164945.086,9134.028465
8,-2144139600,REFNO,23104,WARDAREA,Webber - Camden,4,4,4793373.598,9530.65692
9,-2144138600,REFNO,23114,WARDAREA,Bottineau,14,14,1463844.672,5021.927734
10,-2144139700,REFNO,23103,WARDAREA,Victory,3,3,3546230.137,9270.84387
11,0,REFNO,23108,WARDAREA,Humboldt Industrial Area,8,8,1421622.945,5886.138911
12,-2144133700,REFNO,23163,WARDAREA,Howe,63,63,5496587.746,10134.26921
13,-2144133600,REFNO,23164,WARDAREA,Hiawatha,64,64,6411835.324,12754.9597
14,-2144133200,REFNO,23168,WARDAREA,Windom,68,68,3790629.445,8305.556672
15,-2144132400,REFNO,23176,WARDAREA,Ericsson,76,76,4705807.645,10411.11322
16,-2144132300,REFNO,23177,WARDAREA,Field,77,77,1785617.109,6199.350442
17,-2144132200,REFNO,23178,WARDAREA,Page,78,78,1699077.199,5326.7974
18,-2144136300,REFNO,23137,WARDAREA,Como,37,37,5839385.906,11400.01052
19,-2144136200,REFNO,23138,WARDAREA,Cedar Riverside,38,38,2971661.543,10735.98403
20,-2144136100,REFNO,23139,WARDAREA,Prospect Park - East River Road,39,39,6595015.793,11537.51546
21,-2144136000,REFNO,23140,WARDAREA,University of Minnesota,40,40,3396221.055,9841.761708
